"ad_number","file_instance_id","file_name","file_sha256","normalized_text_sha256","page_count","logical_version_key"
"2020-0016","5c6e21ab23447af0","2020-0016__AD_2020-0016_1__EASA_AD_2020_0016.pdf","2408ee87eb214d5b09b401ef3ab1137c240ff00e128f6b81fddb3ea2410d83eb","f991412488a91a251c4d5d9fc64bf818b739d6b136deaf22e30293f64a99ba90","3","2020-0016|UNCORRECTED"
"2020-0028","734af537e02af649","2020-0028__AD_2020-0028_1__EASA_AD_2020_0028.pdf","898bc65f2dd9ecdeea66673cdb5c291036943ebbedd93216bb24ff36622b8e5f","e888645f570093523e28c7554c3a24cc9487abdced5014c9b0bce2d736450306","2","2020-0028|UNCORRECTED"
"2020-0085R1","5ced2074d6402f32","2020-0085R1__AD_2020-0085R1_1__EASA_AD_2020_0085R1.pdf","31f3f351ee2b02f4ff0636e599e01bbe4e7775c23d5c3298919f5e4327e42e6a","dfe09d312d9d0d266862b183098648ed46a2487ead6089447cfca395ade9b2f4","7","2020-0085R1|UNCORRECTED"
"2021-0087","9e367bf311641409","2021-0087__AD_2021-0087_1__EASA_AD_2021_0087.pdf","bade33627bb01d44b31f286dcbaa512546d5acef8b9e211c08f4986933de2353","49efe5f0b0fc1efaf685c027de80d6962119882e06574a83ac26dc146ef03668","2","2021-0087|UNCORRECTED"
"2021-0221","8aaaf372db377584","2021-0221__AD_2021-0221_1__EASA_AD_2021_0221.pdf","9b565f697bd0ec4d6090cee2c07c9ba265545777b3f8c8340211965d6b00d3d5","73d68b6d97defa98c53f34327754a574b549a70c88c1531a78da6a9b604f4cf1","5","2021-0221|UNCORRECTED"
"2021-0242","3d05d4995d986ef5","2021-0242__AD_2021-0242_2__EASA_AD_2021_0242.pdf","eb4fb67e4ae6f63629ff147dd10cca7d29fc5bf6e85db03f3b34c2bed9284a29","31c475538fcf0c315d2b8fb58620d099f12607603bd8e9368d80ddd4930a5073","6","2021-0242|UNCORRECTED"
"2021-0286","a36d7f18af6e7a27","2021-0286__AD_2021-0286_1__EASA_AD_2021_0286.pdf","eeff34d335189fc2617ec67116c20b1d4153dae80bcdbcc1caeac270f862fd35","24c6181a2accc9d7de396738bbe68453283761d45d022182e58f81b673b97dbc","3","2021-0286|UNCORRECTED"
"2022-0026","2003cabcfcd8976a","2022-0026__AD_2022-0026_2__EASA_AD_2022_0026_superseded.pdf","687349d79195bcf420ccb88240a811245b50912233237f488a5fb9f8a7e63587","a06641b379ace03a4a6b6b4c21fca56c33a4449c2e51b78afd03402ecd0dfd32","12","2022-0026|UNCORRECTED"
"2022-0058","772cd84a0961a452","2022-0058__AD_2022-0058_1__EASA_AD_2022_0058.pdf","eda1c5b45401003d8cf8e91dd56fcd9f05f48a7ff2f630dc481e31f48c67aed0","9e7e3cf8b6e6fab49735429327f6fc8c3f4c198fb4f53a8d987f8624fc1f4f8f","6","2022-0058|UNCORRECTED"
"2022-0197","2f70e87899358165","2022-0197__AD_2022-0197_1__EASA_AD_2022_0197.pdf","9acac66ae6fc4e84e5db4569a3fb2c57a232c30ff6c67a0300b6666d6f27cf28","b57263ca975bf473ab36981b51fb37b7a574d2cb27fdad2fa3a57ea6edce779d","8","2022-0197|UNCORRECTED"
